match_id,map_name,team_name,team_comp,match_win,map_win,year
10223,Dorado,Los Angeles Valiant,"['D.Va', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
10223,Dorado,San Francisco Shock,"['D.Va', 'Genji', 'Junkrat', 'McCree', 'Mercy', 'Tracer', 'Winston', 'Zenyatta']",lose,lose,2018.0
10223,Ilios,Los Angeles Valiant,"['D.Va', 'Genji', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
10223,Ilios,San Francisco Shock,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose,2018.0
10223,Numbani,Los Angeles Valiant,"['Bastion', 'D.Va', 'Lúcio', 'Mercy', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",win,win,2018.0
10223,Numbani,San Francisco Shock,"['Ana', 'D.Va', 'Genji', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose,2018.0
10223,Temple of Anubis,Los Angeles Valiant,"['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Orisa', 'Soldier: 76', 'Sombra', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
10223,Temple of Anubis,San Francisco Shock,"['D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Moira', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose,2018.0
10224,Dorado,Los Angeles Gladiators,"['D.Va', 'Doomfist', 'Genji', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
10224,Dorado,Shanghai Dragons,"['D.Va', 'McCree', 'Mercy', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose,2018.0
10224,Eichenwalde,Los Angeles Gladiators,"['D.Va', 'Mercy', 'Pharah', 'Soldier: 76', 'Tracer', 'Winston', 'Zenyatta']",win,win,2018.0
10224,Eichenwalde,Shanghai Dragons,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Reinhardt', 'Roadhog', 'Soldier: 76', 'Tracer', 'Winston', 'Zarya', 'Zenyatta']",lose,lose,2018.0
10224,Ilios,Los Angeles Gladiators,"['D.Va', 'Genji', 'Lúcio', 'Mercy', 'Pharah', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
10224,Ilios,Shanghai Dragons,"['D.Va', 'Lúcio', 'McCree', 'Mercy', 'Moira', 'Pharah', 'Soldier: 76', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",lose,lose,2018.0
10224,Temple of Anubis,Los Angeles Gladiators,"['Ana', 'D.Va', 'Genji', 'Junkrat', 'Lúcio', 'Mercy', 'Tracer', 'Widowmaker', 'Winston', 'Zenyatta']",win,win,2018.0
